NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Padaria e Confeitaria Vovó Joana - Cocó,4.5,3.456 comentários,"Rua Dr. Francisco Matos, 279 - Cocó, Fortaleza - CE, 60176-130",$$,20 min,cafeteria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,,,Cocó,
Montmarttre (Varjota),4.5,1.665 comentários,"Av. Júlio Abreu, 175 - Varjota, Fortaleza - CE, 60160-240",$$,15-45 min,cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7355793,-38.48742,Varjota,
Saci Pê Tabacaria e Café,4.6,15 comentários,"Av. Monsenhor Tabosa, 314 - Praia de Iracema, Fortaleza - CE, 60165-010",Cafeteria,15-45 min,cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Praia De Iracema,
Go Coffee Abolição,4.4,25 comentários,"Av. da Abolição, 2019 - Loja 07 - Meireles, Fortaleza - CE, 60165-075",Cafeteria,,cafeteria,,,,,,,Meireles,
Confeitaria Le Chica,4.6,230 comentários,"R. Guilherme Rocha, 1670 - Centro, Fortaleza - CE, 60030-141",$$,25 min,cafeteria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7227275,-38.5408651,Centro,
Jardins Café Fortaleza,4.6,50 comentários,"Rua Professor Nogueira, 300 A - Parque Araxá, Fortaleza - CE, 60450-520",Cafeteria,"1-2,5 horas",cafeteria,,,,,,,Parque Araxá,
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,584 comentários,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,"30 min a 1,5 h",cafeteria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7302632,-38.5112711,Aldeota,
Shopping RioMar Fortaleza,4.7,52.357 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055","Shopping center em Fortaleza, Ceará",45 min a 3 h,cafeteria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,Papicu,
Flôr do Café Confeitaria,4.6,176 comentários,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,10 min,cafeteria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,-3.7333995,-38.5216442,Centro,
Tiamate Coffee Aldeota,5.0,23 comentários,"Rua Padre Valdevino, 1801 - Loja 5 - Aldeota, Fortaleza - CE, 60135-041",Cafeteria,,cafeteria,,,,,,,Aldeota,
Dom Kidrack'S Cafeteria,4.1,13 comentários,"Av. Duque de Caxias, 1747 - Centro, Fortaleza - CE, 60035-111",$,,cafeteria,,,,,-3.7288449,-38.5396821,Centro,
Zelig Café Pinacoteca,,,"Rua 24 de Maio, 34 - Centro, Fortaleza - CE, 60030-000",,,cafeteria,,,,,,,Centro,
Le pain Le café,,,"R. Sen. Pompeu - Fortaleza, CE, 60025-001",,,cafeteria,,,,,,,001,
Café Ilha,4.6,38 comentários,"R. dos Cariris, 43 - Térreo - Praia de Iracema, Fortaleza - CE, 60060-230",Cafeteria,"30 min a 1,5 h",cafeteria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,,,Praia De Iracema,
Café Arretado,3.7,35 comentários,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Cafeteria,15 min,cafeteria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,-3.7394308,-38.5404822,Benfica,
Los locos coffee,5.0,4 comentários,"R. Floriano Peixoto - Centro, Fortaleza - CE, 60025-130",Cafeteria,,cafeteria,,,,,,,Centro,
Padoca Les Roches,4.6,485 comentários,"Parque Manibura, Fortaleza - CE, 60810-350",$$,15 min a 1 h,cafeteria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,-3.7916672,-38.4861101,Parque Manibura,
Santa Maria Café,2.8,36 comentários,"(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE",Cafeteria,,cafeteria,,,,,,,Centro,
