,NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO,LAT,LNG
96,Padaria e Confeitaria Vovó Joana - Cocó,cafeteria,"Rua Dr. Francisco Matos, 279 - Cocó, Fortaleza - CE, 60176-130",$$,4.5,3456,20.0,20.0,0 days 00:20:00,0 days 00:20:00,Cocó,-3.746099008129,-38.469866960528
97,Montmarttre (Varjota),cafeteria,"Av. Júlio Abreu, 175 - Varjota, Fortaleza - CE, 60160-240",$$,4.5,1665,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Varjota,-3.735897980507,-38.487245998572
98,Saci Pê Tabacaria e Café,cafeteria,"Av. Monsenhor Tabosa, 314 - Praia de Iracema, Fortaleza - CE, 60165-010",Cafeteria,4.6,15,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Praia De Iracema,-3.723867015785,-38.516559022719
99,Go Coffee Abolição,cafeteria,"Av. da Abolição, 2019 - Loja 07 - Meireles, Fortaleza - CE, 60165-075",Cafeteria,4.4,25,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.726800406128,-38.492724616231
100,Confeitaria Le Chica,cafeteria,"R. Guilherme Rocha, 1670 - Centro, Fortaleza - CE, 60030-141",$$,4.6,230,25.0,25.0,0 days 00:25:00,0 days 00:25:00,Centro,-3.722738015336,-38.540803007102
101,Jardins Café Fortaleza,cafeteria,"Rua Professor Nogueira, 300 A - Parque Araxá, Fortaleza - CE, 60450-520",Cafeteria,4.6,50,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Parque Araxá,-3.735372980002,-38.549489005725
102,Flôr do Café Confeitaria,cafeteria,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,4.6,176,10.0,10.0,0 days 00:10:00,0 days 00:10:00,Centro,-3.733333998236,-38.521533011702
103,Tiamate Coffee Aldeota,cafeteria,"Rua Padre Valdevino, 1801 - Loja 5 - Aldeota, Fortaleza - CE, 60135-041",Cafeteria,5.0,23,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.741913001864,-38.507907976633
104,Dom Kidrack'S Cafeteria,cafeteria,"Av. Duque de Caxias, 1747 - Centro, Fortaleza - CE, 60035-111",$,4.1,13,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.72862600895,-38.53965099833
105,Zelig Café Pinacoteca,cafeteria,"Rua 24 de Maio, 34 - Centro, Fortaleza - CE, 60030-000",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.727308556917,-38.532204400409
106,Le pain Le café,cafeteria,"R. Sen. Pompeu - Fortaleza, CE, 60025-001",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,001,-3.733894202734,-38.531740283841
