NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID
Tortelê,,,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",,,cafeteria
Le Pain Le Café Boulangerie,4.5,180 comentários,"R. Monsenhor Catão, 1430 - Aldeota, Fortaleza - CE, 60175-000",Cafeteria,,cafeteria
Catarina Cafe,5.0,42 comentários,"Av. Eng. Santana Jr., 999 - Papicu, Fortaleza - CE, 60175-652",Cafeteria,,cafeteria
Panebox Gourmet (Fátima),4.3,1.192 comentários,"Rua Monsenhor Otávio de Castro, 582 - Fátima, Fortaleza - CE, 60050-150",$$,20 min,cafeteria
Le Caféine,,,"Av Santos Dumont 3130 Quiosque 102, Piso 1, Fortaleza - CE, 60150-162",,,cafeteria
Ponto do Guaraná e Cafeteria,5.0,3 comentários,"R. Barão de Aracati, 886 - Aldeota, Fortaleza - CE, 60115-081",Lanchonete,,cafeteria
Moncloa Tea Boutique,4.8,20 comentários,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60176-065",Loja de chás,,cafeteria
Sablé Diamant,4.6,1.073 comentários,"Rua Dr. José Lourenço, 1414 - Aldeota, Fortaleza - CE, 60115-280",$$$,,cafeteria
JN Bolos e Confeitaria,,,"Rua Solon Pinheiro, 180 - Centro, Fortaleza - CE, 60050-040",,,cafeteria
Espaço Vida Saudável Fit Lounge Bem Fica,4.9,14 comentários,"R. da Assunção, 1189 - José Bonifacio, Fortaleza - CE, 60050-011",Casa de chá tradicional,,cafeteria
Mais1 Café - Fortaleza,4.8,22 comentários,"R. Vicente Leite, 876 - Meireles, Fortaleza - CE, 60170-150",Cafeteria,,cafeteria
Pâine Croissanterie,4.3,20 comentários,"R. Des. Lauro Nogueira - Papicu, Fortaleza - CE, 60175-055",Patisserie,,cafeteria
Monstera Café Cultural,5.0,3 comentários,"Av. Pontes Vieira, 417 - Dionísio Torres, Fortaleza - CE, 60130-240",Café,,cafeteria
Café Passeio,4.5,1.044 comentários,"Passeio Público - R. Dr. João Moreira - Centro, Fortaleza - CE, 60030-000",$$,45 min a 2 h,cafeteria
Vibe café,3.7,7 comentários,"Rua Manuel Queirós, 511A - Cocó, Fortaleza - CE, 60192-220",Cafeteria,,cafeteria
Empório Brownie,4.4,22 comentários,"R. Carapinima, 2200 - Benfica, Fortaleza - CE, 60015-290",Padaria,,cafeteria
CAFE CARAMELLO FORTALEZA - DISTRIBUIDORA,5.0,Um comentário,"R. Tibúrcio Cavalcante, 1675 - Meireles, Fortaleza - CE, 60125-045",Café,,cafeteria
Cheirim Bão,,,"Av. Santos Dumont, 3131 - Aldeota, Fortaleza - CE, 60150-162",,,cafeteria
D’ellas Cafeteria,4.4,8 comentários,"Rua Torres Câmara, 181 - Aldeota, Fortaleza - CE, 60150-060",Café,,cafeteria
Empório do Cacau Brasil,5.0,7 comentários,"R. Sen. Pompeu, 2610 - loja 17 - José Bonifacio, Fortaleza - CE, 60025-001",Cafeteria,,cafeteria
Café Santa Clara,,,"Av. Washington Soares, 85 - Loja 68 - Messejana, Fortaleza - CE, 60810-350",,,cafeteria
cafe dek porronda,,,"R. Barão do Rio Branco, 1006 - Centro, Fortaleza - CE, 60025-060",,,cafeteria
Loja Ostara,5.0,Um comentário,"R. Castro e Silva, 401 - Centro, Fortaleza - CE, 60030-010",Sorveteria,,cafeteria
Trino Café Montese | Sua cafeteria no Montese,4.8,221 comentários,"R. Edite Braga, 1310 - Montese, Fortaleza - CE, 60410-222",Café,,cafeteria
